# Manual word translations:

estaba	war
save	sparen
12-20	12-20
12-20	12 - 20
12-20	12- 20
12-24	12-24
12-24	12­24
12-24	12—24
12-25	12-25
12-25	12- 25
12-25	12 - 25
13-2	13-2
13-2	13- 2
13-2	13 - 2
13-2	13 — 2
him'	er
him'	ihm
restore	wiederherstellung
restore	rest
restore	wiederherstellung der
restore	wiederherstellung von
13-9	13-9
13-9	13 - 9
13-9	13- 9
13-22	13-22
13-22	13­22
'pointing	"zeichen"
'pointing	'zeichen
daughter	tochtergesellschaft
daughter	tochter
daughter	tochter der tochtergesellschaft
physician	physitian
physician	arzt
physician	physiker
13-25	13-25
13-25	13 - 25
13-25	13- 25
'shall	'shall
'shall	'
'shall	' shall
'are	werden
'are	sind
14	14
14	141
14-9	14-9
14-9	14— 9
14-9	14 - 9
14-9	14- 9
'like	wie
'like	♪
childhood	kindheit
childhood	kinder
14-21	14-21
14-21	14.21
mark	Mark
22-43	22-43
22-43	22.43
1835	1835
1835	ANHANG
1893	1893
1893	1893:
indefatigable	indefensibel
indefatigable	undefensible
indefatigable	undefensibel
indefatigable	invertierbar
diffuse	diffus
diffuse	difuse
diffuse	diffusor
children	kinder
children	kinder und kinder
15-1	15-1
15-1	1
15-5	15 - 5
15-5	15-5
15-5	15 — 5
'parents	'eltern
'parents	„eltern
subordinate	subjugat
subordinate	stellvertreter
subordinate	ersatz
subordinate	unterwegs
clauses	gewebe
clauses	uhren
clauses	tücher
clauses	gerste
15-12	15-12
15-12	15 - 12
15-12	15 — 12
seen	gesehen
seen	in
15-20	15-20
15-20	15 - 20
15-20	15 bis 20
'rested'	'restiert'
'rested'	"ruhe"
'rested'	'rested'
'rested'	'beruhigt'
'went	20
'went	'wen
rest'	ruhe
15-22	15 - 22
15-22	15-22
15-22	15 bis 22
'uttered'	'
'uttered'	"ausgesprochen"
'uttered'	'ausgesprochen'
hear'	anhörung
hear'	hören
hear'	hören '
16	ANHANG
16	163
16	16
16	15
16-10	16 - 10
16-10	16 — 10
16-10	16-10
happened	passiert
happened	es ist passiert
happened	passierte
16-14	16-14
16-14	16 - 14
'she	sie
'she	'
go	los
go	los geht's
go	los, los
imperf	imperf
imperf	insgesamt
imperf	gesamt
continued	weiter
continued	fortsetzung
continued	fortgesetzt
continued	weiter fort
repeated	wiederholt
repeated	wiederholt werden
action	aktion
action	maßnahmen
action	maßnahme
action	handlung
16-21	16-21
16-21	16 - 21
'except	außer
'except	'ausgenommen
'except	ausnahme
'except	„ausgenommen
16-24	16-24
16-24	16 — 24
'drove'	♪
'drove'	#
'drove'	~
'took	'
'took	"
'took	„
'took	''
graze	grüße
graze	grins
graze	grieß
16-31	16-31
16-31	16—31
'even	'
'even	"eben
'even	"gleich
'even	"sieben
17	17
17	ANHANG
17	163
17	183
17-3	17 - 3
17-3	17-3
17-3	17 — 3
17-3	17- 3
'anything	'anything
'anything	'alles
else	andere
else	else
else	sonst
else	anderen
except'	ausnahme
except'	ausnahmen
except'	außer
except'	ausgenommen
17-14	17 - 14
17-14	17-14
'whom	wer
she	sie..
she	sie
she	sie/sie
served	serviert
served	serviert werden
served	serviert wird
17-22	17-22
17-22	17 - 22
'in	'in
'in	„in
'in	'
days	tage
days	tag
17-30	17-30
17-30	17- 30
'all	alles
'all	'
'all	"alle
air	luft
air	luftraum
air	luftverschmutzung
air	luftfracht
18	183
18	188
18	18
18-7	18-7
18-7	18- 7
nightfall	nacht
nightfall	nacht und nacht
nightfall	die nacht
stricken	gestrickt
stricken	geschlagen
stricken	gestrickte
fever	♪
fever	nie
fever	immer
fever	#
18-8	18-8
18-8	18- 8
18-8	18 - 8
'had	'
'had	"
'had	'had
'had	„
'next	'next
'next	"next"
'next	"next
18-19	18-19
18-19	18- 19
entering	eintrag
entering	einfuhr
entering	beenden
entering	eintragung
18-20	18-20
18-20	18- 20
18-20	18 - 20
everything	alles
everything	alles in allem
thrown	geworfen
thrown	werft
18-25	18-25
18-25	18- 25
myself	mein selbst
myself	mich selbst
myself	ich bin selbst
18-28	18-28
18-28	18- 28
'by	'
'by	bis
'by	~
'by	"
18-30	18-30
18-30	18- 30
little	klein
little	wenig
little	bit
little	klein wenig
less	weniger
less	weniger als
less	weniger als 20 %
less	weniger als 3 %
mutilated	entwässert
mutilated	vermehrung
mutilated	mit einem gehalt an
mutilated	mutiert
readers	leser
readers	lesegeräte
readers	lesezeichen
schools	schulen
schools	schulen und schulen
schools	schule
america	Amerika
america	Amerikanisch
america	Amerikanische
america	Amerikanische Länder
20-1	20-1
20-1	20- 1
lighthouse-keeper's	Licht
lighthouse-keeper's	Leuchtturmhalter
lighthouse-keeper's	Leuchtturmwächter
lighthouse-keeper's	Leicht
daughter'	Tochter
daughter'	Tochter..
daughter'	Tochter '
girl'	mädchen '
girl'	mädchen
20-3	20-3
20-3	20 - 3
20-3	20 — 3
lighted	licht
lighted	beleuchtung
lighted	beleuchtet
lighted	likör
how	wie
20-6	20-6
20-6	20 - 6
20-6	20- 6
'in'	'in '
'in'	in '
'in'	'in'
'in'	' in '
when	wenn
when	wann
20-13	20-13
20-13	20 - 13
20-13	20- 13
'have	'
'have	verhalten
'have	"
'have	~ habe ~
20-20	20-20
20-20	20
20-20	20 - 20
impossible	unmöglich
pass	passieren
pass	schritt
pass	pass
pass	reisepass
20-21	20-21
20-21	20 - 21
'a	'a
'a	„a
day	tag
day	tage
day	tageslicht
21-5	21-5
21-5	21 - 5
21-5	21 — 5
'since	'
'since	seit
knew	knew
knew	kneu
knew	neu
21-6	21-6
21-6	21 - 6
21-6	ANHANG
'would	'
'would	"
'would	„
'would	''
pass'	schritt '
pass'	schritt
pass'	schritt:
pass'	schritt "
equivalent	äquivalent
equivalent	äquivalente
equivalent	äthiopien
equivalent	äquivalentbetrag
pasarían	würde passieren
pasarían	würde gehen
pasarían	sie würden gehen
pasarían	sie würden passieren
21-10	21 - 10
21-10	21-10
21-10	21 — 10
21-11	21 - 11
21-11	21-11
21-11	21 — 11
tied	gebunden
tied	gefesselt
tied	verbunden
feet	%
feet	füße
feet	feen
feet	gebühren
21-14	21-14
21-14	21 - 14
21-16	21-16
21-16	21 - 16
waves	vögel
waves	wellen
waves	vogelarten
already	bereits
already	schon
already	schon längst
already	schon jetzt
dashing	dashing
21-18	21-18
21-18	21 - 18
21-18	21 — 18
'six	sechs
'six	'
'six	'sechs
o'clock	uhr
o'clock	o. uhr
struck	struktur
struck	strukturstruktur
struck	strukturierung
struck	struktur und struktur
21-20	21 - 20
21-20	21-20
21-20	21 — 20
half-past	halbpast
half-past	halblack
half-past	halbpass
half-past	halbwertszeit
21-26	21-26
21-26	21 - 26
omit	omit
omit	verzicht
omit	besamung
omit	besamen
translation	übersetzung
translation	übersetzungen
translation	übersetzung:
translation	übersetzung der übersetzung
clause	klausel
clause	abschnitt
clause	klauseln
21-30	21-30
21-30	21 - 30
'struck	struktur
'struck	'struktur
'struck	„struktur
tried	versucht
could'	könnte..
could'	könnte
could'	ich könnte
could'	das könnte ich
22-1	22-1
22-1	ANHANG
lacked'	fehlt
lacked'	fehlen
lacked'	fehlt '
lacked'	fehlte
lacking	fehlen
lacking	mangel an
lacking	mangel
lacking	mangelnde
her'	sie
her'	ihr
22-3	22-3
22-3	22 - 3
22-3	ANHANG
just	nur..
just	nur
going	gehen
going	geht weiter
going	und
sit	sitz
sit	sitzen
sit	sitzplatz
down	unten
down	runter
down	hinunter
22-6	22-6
22-6	22 - 6
sufficiently	ausreichend
sufficiently	hinreichend
sufficiently	genug
1823	1823
1823	ANHANG
1897	1897
plays	theaterstücke
plays	theater
plays	spiele
plays	theaterstück
pleasant	angenehm
pleasant	bitte
pleasant	klarinette
style	stil
style	stilvoll
style	art
style	stilrichtung
treated	behandelt
treated	behandelt werden
dog	hund
dog	hunde
dog	hunden
mistakenly	mistaki
mistakenly	irre
mistakenly	mistkerl
mistakenly	mistel
believed	geglaubt
believed	geglaubt haben
mad	angry
mad	ang
mad	du bist verrückt
mad	angst
up	auf
up	nach oben
happily	glück
happily	glücklich
play	spiel
play	spielen
novel	roman
novel	neuheit
novel	romane
novel	romantisch
gólgota	Gold
gólgota	Ziegen
gólgota	Gans
23-2	23 - 2
23-2	23 — 2
23-2	23-2
writings	schriften
writings	geschrieben
writings	schreiben
writings	schriftlich
address	anschrift
address	adresse
address	adressat
address	anschrift:
23-5	23 - 5
23-5	23-5
23-5	23 — 5
23-5	23 ­ 5
'merely	"mehr
'merely	'mely
'merely	'meer
'merely	'meerlich
seeing	sehen
seeing	zu sehen
23-7	23-7
23-7	23 - 7
23-7	23 — 7
sacrifices	opfer
sacrifices	opfern
sacrificed	geopfert
sacrificed	geschlachtet
sacrificed	opfer
24-1	24-1
24-1	24 -1
'which	'die
'which	„die
'which	"die
'which	'
merely	aber..
merely	nur..
merely	ich..
merely	einfach..
24-3	24 - 3
24-3	24-3
24-3	24 — 3
26	ANHANG
26	26
26	L 347 vom 20.12.2013, S. 1)
'as	'a (pl)
'as	„a (pl)
long	lang
long	länge
long	lange
should	sollte
should	sollten
watch	uhrzeit
watch	vorsicht
watch	pass auf
watch	wache
over'	über uns
over'	"
over'	über das
over'	über die
indef	index
indef	inif
indef	indef
fut	fohlen
fut	fot
fut	fu
fut	fut
time	zeit
time	zeitpunkt
time	laufzeit
time	zeitdauer
24-11	24-11
24-11	24 - 11
24-11	24 ­ 11
business	unternehmen
business	geschäft
business	geschäftsbereich
business	geschäftstätigkeit
24-12	24-12
24-12	24 - 12
24-12	24 ­ 12
fourth	4
fourth	vgl
fourth	vierte
fourth	viertens
24-13	24 - 13
24-13	24-13
24-13	24 ­ 13
24-18	24 - 18
24-18	24-18
24-18	24 — 18
there	da
there	dort
there	hier
24-21	24-21
24-21	24 - 21
24-21	24 — 21
proper	ordnungsgemäß
proper	pro jahr
proper	richtig
proper	pro kopf
24-25	24-25
24-25	24 - 25
24-25	24 ­ 25
'of	'von
'of	'
'of	von
'of	„von
24-26	24 - 26
24-26	24 — 26
24-26	24-26
24-26	24 ­ 26
happens	passiert
happens	passieren
25-1	25-1
'where'	wo
'where'	wohin
'where'	- wo
'where'	"wohin"
where'	wo
where'	wohin
where'	wenn
25-5	25-5
25-5	25 - 5
25-5	25 bis 5
25-5	25— 5
understood	verständnis
understood	verstanden
understood	bestand
understood	verständnis für
force	kraft
force	kraftkraft
force	kraftschluss
force	kraftübertragung
25-7	25-7
25-7	25 - 7
25-7	25 bis 7
25-9	25— 9
25-9	25 - 9
25-9	25-9
25-9	25 bis 9
turn	drehung
turn	drehscheibe
turn	drehen
found'	gefunden '
found'	gefunden
25-10	25 - 10
25-10	25 bis 10
25-10	25-10
25-10	25— 10
'anywhere	irgendwo
right	recht
right	rechts
right	richtig
25-11	25-11
25-11	25 - 11
leave	urlaub
leave	links
leave	blätter
leave	ruhe
alone	allein
alone	alleine
alone	nur
imperatively	imperativ
25-19	25-19
25-19	25 - 19
25-19	25 bis 19
paul	Paul
25-29	25-29
25-29	25 - 29
trying	prüfverfahren
trying	versuchen
trying	prüfung
26-11	26 - 11
26-11	26-11
26-11	26 — 11
'placed	'ersetzt
'placed	'versetzt
'placed	"ersetzt
26-12	26 - 12
26-12	26-12
26-12	26 — 12
against	gegen
against	gegen die
against	gegen den
main	haupt
main	hauptsache
main	hauptmerkmal
verbs	verben
verbs	verbs
verbs	verbene
same	gleich
same	gleiche
26-22	26-22
26-22	26 - 22
master	meister
master	master
master	masterstudiengang
master	masterstudien
understand	verstehen
what	was
what	- was
means	mittel
means	bedeutung
means	mittel und mittel
26-27	26-27
26-27	26 - 27
26-27	26 — 27
'without	ohne
'without	'
letting	lassen
letting	lassen sie
letting	lesen
27	27
27	KAPITEL
27	27)
27	273
27-10	27-10
27-10	27 bis 10
27-10	27 - 10
indicates	angaben
indicates	index
indicates	angegeben
indicates	indexe
27-15	27-15
27-15	27 — 15
27-15	27 - 15
27-19	27-19
27-19	27 - 19
27-19	27 bis 19
28	ANHANG
28	KAPITEL
28	28
28	28)
28-20	28-20
28-20	28 — 20
28-20	28 - 20
'after	nach
'after	nachstehend
'after	'
'after	nachher
death'	tod
dead'	tot
28-31	28-31
28-31	28 bis 31
'lost'	'verloren'
'lost'	"verloren"
'lost'	"verlust"
losing'	verlust
losing'	verlieren
losing'	verlust '
29	ANHANG
29	29)
29	29
29	L 347 vom 20.12.2013, S. 1)
29-6	ANHANG
29-6	29-6
29-6	29- 6
'pardon	pardon
'pardon	'pardon'
'pardon	'pardon
29-7	29-7
29-7	29 — 7
29-7	ANHANG
29-7	29 - 7
'carry	'carte
'carry	'karätig
you'	du..
you'	du
you'	sie..
you'	ihr
29-11	29-11
29-11	29 — 11
29-13	29-13
29-13	ANHANG
29-13	29 - 13
'has	'
'has	"
'has	'has
'has	ha
borne	geboren
borne	geb
name	name
name	bezeichnung
name	name:
act	aktie
act	aktenzeichen
act	rechtsakt
act	rechtsakte
state	zustand
state	staat
state	mitgliedstaat
still	noch
still	still
still	immer noch
still	noch nicht
continues	weiter
continues	weiterlesen
continues	weiter fort
1850	1850
1850	ANHANG
coarse	dichtung
coarse	gen
coarse	seuchen
coarse	dichtungen
volumes	volumen
volumes	mengen
volumes	bände
30-1	30-1
30-1	30 — 1
30-1	30 - 1
30-5	30 - 5
30-5	30 bis 5
30-5	30-5
30-5	30— 5
30-7	30-7
30-7	30 - 7
30-7	30 — 7
passing	vorbei
passing	passieren
passing	weiter
passing	durchlaufen
30-9	30- 9
30-9	30— 9
30-9	30 bis 9
30-9	30 - 9
who'	wer
who'	- wer
30-17	30-17
30-17	30 — 17
30-17	30 - 17
'before	vor
'before	vorher
30-20	30-20
30-20	30 - 20
30-20	30- 20
30-21	30-21
'some	irgendwas
got	haben
got	hat
got	verstanden
ahead	kopf
ahead	ahad
ahead	weiter
ahead	stirn
30-22	30-22
30-23	30-23
30-23	30 - 23
'what	was
never	nie
never	niemals
30-24	30-24
30-25	30-25
30-25	30 - 25
30-25	30 — 25
'why	warum
'why	was
'why	- warum
31-1	ANHANG
31-1	ANHANG I
31-1	L 347 vom 20.12.2013, S. 1)
went	ging hin
went	ging
went	los
31-3	ANHANG
31-3	ANHANG 3
31-3	L 347 vom 20.12.2013, S. 1)
31-3	31. 3
was'	war
was'	war '
was'	wurde
was'	hatte
went'	"
went'	ging
31-11	31-11
31-11	ANHANG
31-11	31.11
themselves	unternehmen
themselves	selbst
themselves	sich selbst
themselves	jeweils
31-12	31. 12
31-12	31-12
31-12	ANHANG
31-12	L 347 vom 20.12.2013, S. 1)
31-13	ANHANG
31-13	L 347 vom 20.12.2013, S. 1)
31-14	31.14
31-14	ANHANG
31-14	L 347 vom 20.12.2013, S. 1)
31-14	31-14
wasn't	nicht
wasn't	wurde nicht
didn't	nicht
didn't	nicht mehr
didn't	#
say	sagen:
say	sagen
31-23	31-23
31-23	31.23
31-23	L 347 vom 20.12.2013, S. 1)
idiom	idiom
idiom	diiom
idiom	iidiom
very	sehr
very	sehr gut
very	sehr stark
very	sehr viel
colloquial	kolloquium
colloquial	colloquial
colloquial	kolloquial
31-25	31.25
31-25	31-25
31-25	31.-25
31-25	L 347 vom 20.12.2013, S. 1)
afternoons'	nachmittage '
afternoons'	nachmittag '
afternoons'	afternos
afternoons'	afternoons
afternoon	nachmittag
afternoon	nachmittags
afternoon	tag
afternoon'	nachmittag '
saw	siehst du
saw	sehen sie
saw	siehe
saw	vgl
31-29	ANHANG
31-29	31.29
31-29	L 347 vom 20.12.2013, S. 1)
catching	fang
catching	fangen
catching	fangmöglichkeiten
31-30	31.30
31-30	ANHANG
31-30	31. 30
31-30	31-30
paid	bezahlt
paid	zahlung
high	hoch
high	höhe
high	hohe
price	preis
price	preise
price	preis/leistung
32	ANHANG
32	32
32	KAPITEL
32-1	32 - 1
32-1	32 — 1
32-1	ANHANG
ho	Ho
ho	Hopfen
32-2	32
32-2	32 - 2
32-2	32- 2
32-2	32 — 2
'chaviri's	'chaviri's
'chaviri's	"chaviri's
32-4	32-4
32-4	32- 4
32-4	32 - 4
'lasted	„belastet
'lasted	'last
'lasted	'belastet
'lasted	‚belastet
week	woche
week	wochen
week	wochenzeit
32-5	32 - 5
32-5	32-5
32-5	32 — 5
32-5	32- 5
months	monate
months	monat
months	monaten
32-7	32 - 7
32-7	32-7
32-7	32 — 7
report	bericht
report	bericht der kommission
report	bericht des ausschusses
spread	verbreitung
spread	spread
spread	breite
spread	spund
32-8	32 - 8
32-8	32-8
32-8	32- 8
'no	'
'no	nein
shouted	schreit
shouted	schreien
32-14	32-14
32-14	32 - 14
avoid	vermeiden
avoid	vermeidung
seen'	gesehen
seen'	"
avoiding	vermeidung
avoiding	vermeiden
avoiding	vermeidung von
me'	ich
32-20	32-20
32-20	32 - 20
32-20	32 — 20
risk	risikopositionen
risk	risikominderung
risk	risikokapitalrisiko
risk	risikominderungsrisiko
finding	finden
finding	flossen
finding	suche nach
place'	ort '
place'	platz '
place'	ort
hit	schlag
hit	treffer
upon	auf
upon	auf der
upon	auf die
32-26	32-26
32-26	32 - 26
33	33
33	ANHANG
33-4	33-4
33-4	33- 4
33-4	33 — 4
33-4	33. 4
farther	weiter
farther	weiter unten
farther	weiterlesen
33-9	33-9
33-9	33- 9
33-9	33. 9
33-9	33 — 9
indeed	tatsächlich
indeed	index
indeed	in
expect'	erwartet
33-11	33-11
33-11	33 — 11
33-12	33-12
33-12	33- 12
33-12	33 — 12
1853	1853
1853	ANHANG
journalist	journalist
journalist	journalisten
journalist	journalistin
novelist	neuheit
novelist	romantisch
novelist	neuheiten
novelist	roman
began	megan
began	roggen
began	began
realist	realität
realist	wirklichkeit
realist	real
later	später
later	später noch
become	werden
become	getränke
become	trinken
become	getränk
careful	vorsichtig
careful	vorsicht
elegant	antragsteller
elegant	elegant
elegant	elegant und elegant
elegant	förderfähig
diction	diktion
diction	gegenstand
diction	frage
diction	frage stellen
excels	ausgezeichnet
excels	exzellenz
excels	überschüsse
excels	qualität
psychological	psychologische
psychological	psychisch
psychological	psychische
analysis	analyse
analysis	analysemethode
analysis	analyse der ergebnisse
galdós	Galdós
galdós	In den Warenkorb
galdós	Galdos
galdós	Galden
probably	wahrscheinlich
probably	wahrscheinlich und
strongest	stark
strongest	am
strongest	stark ausgeprägt
novelists	neuheiten
novelists	romane
novelists	romanik
novelists	romanze
sulpicio	Sulpic
sulpicio	Bild
sulpicio	Sulpix
sulpicio	Sulfpic
maestrante	meister
maestrante	master
maestrante	masterstudiengang
ribot	Ribot
ribot	Rirot
ribot	Rigot
34-1	34-1
34-1	ANHANG
yet	noch
yet	noch nicht
34-14	34-14
34-14	34 bis 14
losing	verlust
losing	verlieren
losing	verluste
sight	sehenswürdigkeiten
sight	blick
sight	sehnsucht
sight	sehenswert
34-17	34-17
34-17	34 bis 17
34-17	34- 17
constructions	konstruktionen
constructions	bauten
constructions	gebäude
constructions	baugewerbe
considered	gegenstand
considered	g)
considered	galt
considered	galten
34-18	34-18
34-18	ANHANG
34-25	34-25
35	35
35	35)
35	35 %
35	ANHANG
35-2	35-2
35-2	35- 2
35-10	35-10
35-10	35- 10
sailor-suit'	seemann-anzug '
sailor-suit'	sailor-anzug '
'dressed	„bekleidet
'dressed	'bekleidet
'dressed	"bekleidet
'dressed	„bekleidet“
sailor'	seemann '
sailor'	sailor '
sailor'	sailor's
sailor'	matlor's
35-14	35-14
35-14	35 - 14
35-15	35-15
35-15	35- 15
35-15	35­15
'pulled	„entwickelt
'pulled	‚entwickelt
35-18	35-18
35-18	35 - 18
35-18	35 — 18
35-30	35-30
35-30	35- 30
age	alter
age	altersalter
age	altersgruppe
age	altersgrenze
36	36
36	KAPITEL
36	36)
36-2	36-2
36-2	36- 2
36-9	36-9
36-9	36- 9
36-9	36, 9
friend	freund
friend	freundlichkeit
friend	freundchen
having	mit
having	wenn
having	haben
having	mit einer
observed	beobachtet
observed	beobachtete
observed	beobachtet wurden
this'	das..
this'	das hier..
this'	dieses..
this'	diese..
friend'	freund
friend'	freunde
36-11	36-11
36-11	36­11
36-13	36-13
36-13	36- 13
36-16	36-16
36-16	36- 16
36-17	36-17
36-17	36 bis 17
36-17	36- 17
double	doppelzimmer
double	doppelt
double	doppel
construction	baugewerbe
construction	bau
construction	konstruktion
construction	bauwesen
emphasis	empfindung
emphasis	empfindungen
emphasis	sizilien
36-18	36-18
36-18	36 bis 18
36-18	36, 18
'so'	"so"
'so'	so
'so'	'so '
'so'	'so'
decírtelo	sag es dir
decírtelo	sag es
decírtelo	sagen sie es
36-22	36-22
36-22	36­22
eramos	wir waren
eramos	wir haben
been'	werden
been'	sein
been'	war's
been'	"
imperfect	unvollkommenheit
imperfect	imperfekt
imperfect	unvollkommen
imperfect	unvollständig
condition	zustand
condition	bedingungen
condition	bedingung
existed	existiert
existed	existierte
existed	vorhanden
existed	existiert nicht
takes	nimmt
takes	nimmt an
takes	die
place	ort
place	platz
place	ort und ort
'engaged	„gelobt“
'engaged	"gelobt"
'engaged	„verlobt“
36-23	36-23
36-23	36,23
36-23	36.23
36-24	36-24
36-24	36­24
36-26	36-26
36-26	36, 26
36-26	36,26
mean	mann
mean	mittel
liked	gefällt mir
liked	gefällt
liked	geschliffen
36-27	36-27
36-27	36—27
36-29	36-29
36-29	36­29
36-29	36- 29
second	zweiter
second	zweite
second	zweiter teil
second	zweitens
36-31	36-31
36-31	36,31
36-31	36 bis 31
'said	said
'said	sagte:
sunday	Sonntag
afternoons	nachmittage
afternoons	nachmittags
holidays	urlaub
holidays	feiertage
holidays	urlaubsangebote
groups	gruppen
groups	gruppengruppen
groups	gruppe
young	jugendliche
young	jung
young	junge mädchen
young	junge junge mädchen
women	frauen
women	frauen und frauen
accompanied	begleitung
accompanied	begleitet von
accompanied	mit
accompanied	mit einem gehalt an
older	älter
older	ältere
older	ältere menschen
persons	personen
persons	person
stroll	troll
side	seite
side	seiten
side	seitlich
side	seitenflächen
opposite	position
opposite	einspruch
opposite	gegenüber
opposite	widerspruch
directions	richtung
directions	adresse
directions	adressen
directions	richtlinien
speak	sprechen
speak	sprache
latin	Laien
latin	Lateinamerika
latin	Latein
countries	länder
countries	ländern
countries	staaten
closely	geschlossen
closely	genau
closely	eng
related	verwandte themen
related	verwandt
related	verwandtschaft
related	verwandte themen:
together	zusammen
together	gemeinsam
together	und
unless	weniger
unless	ohne
unless	nur
unless	wenn
engaged	verlobte
engaged	verlobt
engaged	versichert
engaged	versicherte
married	verheiratet
married	geheiratet
married	hei
even	sogar
even	sogar noch
even	auch nicht
even	noch nicht
then	dann
then	und
woman's	frau
woman's	frauen
woman's	die frau
37	37
37	37)
37-1	37-1
37-1	37- 1
'yes	ja
origin	ursprung
origin	ursprungsbezeichnung
origin	herkunft
origin	ursprungserzeugnisse
says	tage
says	sagt:
says	sagt
says	sagen:
we	wir
we	wir haben
we	wir werden
around	um
around	rund um die
around	um die
around	rund um den
again'	wieder
next	nächste
next	nächster
next	nächstes
turn'	"
turn'	:
37-6	37-6
37-6	37- 6
'once	11
dancing	tanz
dancing	tanzen
harmless	harmlos
harmless	unsicher
dance	tanz
dance	tanz und tanz
sundays	Sonntag
sundays	Sonntage
returning	rückkehr
returning	rückgabe
returning	rücksendung
returning	rückführung
mass	masse
mass	massemasse
mass	massenmasse
devout	devout
devout	entwickeln
devout	entfaltung
christians	Christen
christians	Christians
37-10	37-10
37-10	37- 10
37-10	37, 10
came	essen
came	iss
came	fleisch
came	ziegen
school	schule
school	schule und schule
school	schulschule
37-14	37-14
37-14	37 bis 14
continue	weiter
continue	weiterlesen
continue	weiter fort
continue	fortsetzung
37-23	37-23
37-23	37.23
'standing	„verstehen“
'standing	„hervorhebung
'standing	„verstehen
'standing	„hervorhebung“
in'	in '
in'	in
in'	„
'packed	'verpackt
'packed	verpackt
'packed	'gepackt
37-28	37-28
37-28	37­28
37-28	37.28
37-28	37,28
servant's	diener
servant's	service
servant's	dienst
servant's	dienstleistungen
37-29	37-29
37-29	37­29
37-29	37 bis 29
let	lassen
let	lass los
let	lassen sie
getting	getriebe
getting	immer
getting	und
getting	immer wieder
wet	nass
wet	feucht
wet	naß
way	weg
way	wegbeschreibung
way	wegweiser
way	und
37-31	37-31
37-31	37 bis 31
37-31	37,31
38	38
38	383
38	38.8
38-1	38-1
38-1	38- 1
choked	geändert
choked	gewürfelt
choked	verändert
choked	gequetscht
throat	torf
throat	thorat
throat	halsschmerzen
38-3	38-3
38-3	38- 3
mirándola	sieh sie dir an
mirándola	sieh sie an
38-10	38-10
38-10	38- 10
38-23	38-23
38-23	38.23
passed	bestanden
passed	bestand
passed	passiert
38-25	38-25
38-25	38- 25
destacó	hervorgehoben
destacó	hergestellt
destacó	betont
finally	endlich
finally	schluss
'threw	'
'threw	"
'threw	„
'threw	drei
arms	arme
arms	waffen
arms	armbänder
arms	armlehnen
neck	hals
neck	halsschmerzen
38-31	38-31
38-31	38,31
38-31	38.31
39	39
39	L 347 vom 20.12.2013, S. 1)
39-1	39-1
39-1	39- 1
expletive	ausdauer
expletive	auslieferung
expletive	innovative
expletive	exploration
1848	1848
vigo	Vigo
vigo	Pinien
vigo	Vietnam
1906	1906
playwright	spiel
playwright	spielraum
playwright	spielfilm
playwright	spielchen
excelled	ausgezeichnet
excelled	hervorragend
humorous	humorvoll
articles	waren
articles	warenbezeichnung
articles	artikel
articles	waren, waren oder waren daraus
daily	täglich
press	presse
press	pressemeldungen
press	pressekontakt
press	pressemeldung
american	Amerikanisch
american	Amerikaner
american	Amerikanische
american	Amerikanische Amerikaner
prof	Prof
prof	Beruf
prof	Prof. Dr
prof	Pof
murray	Murray
anthony	Anthony
anthony	Anthony..
potter	Kartoffeln
potter	Töpfe
potter	Töpfchen
potter	Kartoffel
harvard	Harvard
harvard	Harvared
40-7	40-7
40-7	40 - 7
40-7	40 — 7
41	ANHANG
41	41
41	L 347 vom 20.12.2013, S. 1)
41-6	41-6
41-6	ANHANG
41-6	ANHANG 6
throw	zeile
throw	zeilen
throw	♪
throw	wer ist da
41-19	41-19
41-19	41 bis 19
41-19	41­19
ago	vorwärts
ago	aug
41-30	41-30
41-30	41 bis 30
'listen	hör zu
'listen	hören sie
'listen	hör mal
'listen	"hör mal
42	ANHANG
42	42
42	42)
42-2	42-2
42-2	42- 2
42-2	ANHANG
'be	'
'be	'be
'be	werde
reasonable	lesbar
reasonable	begründung
reasonable	angemessene
reasonable	angemessen
42-4	42-4
42-4	42- 4
42-4	4-4
42-7	42-7
42-7	42- 7
42-7	ANHANG
bird-dealer'	vogelhändler '
bird-dealer'	vogelhändler
bird-dealer'	vogelversiegelung '
bird-dealer'	vogelschutz
birds'	vögel
birds'	vögel '
birds'	vogelarten
birds'	tiere
42-12	42-12
42-12	42- 12
42-12	4-12
'well	- gut
'well	gut
'well	ja
understand'	verstehen
understand'	verstehen:
'so	'
'so	"
'so	so
it'	es ist
it'	es
42-15	42-15
42-15	42­15
42-15	42- 15
43-4	43-4
43-4	43- 4
43-4	ANHANG
43-4	ANHANG 4
43-9	ANHANG
43-9	43-9
43-9	43- 9
tries	steuersätze
tries	preise
tries	zinssätze
ambiguous	mehrdeutig
ambiguous	zweideutig
ambiguous	zweideutige
might	vielleicht
43-16	43-16
43-16	ANHANG
43-16	43- 16
'tell	'
'tell	insgesamt
'tell	'tell
trouble	probleme
trouble	triublin
trouble	touble
trouble	schwierigkeiten
43-25	43-25
43-25	43- 25
rest	ruhe
rest	rest
succeed	erfolgreich
'we	wir
'we	"wir
passengers	personen
passengers	fluggäste
passengers	passanten
44	44
44	ANHANG
44	44)
44-12	44-12
44-12	44- 12
44-12	4-12
party	partei
party	parteien
party	teil
44-16	44-16
44-16	44- 16
meantime	zwischenzeit
meantime	zwischen
meantime	zwischenzeitlich
meantime	bring mich rein
44-17	44-17
44-17	44- 17
